,직종코드,직종명,상위단계 직종코드
134,029101,"일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)",01A
135,029102,예약·접수 사무원(A/S·고장·가입·신규발급·이전),01A
136,029103,호텔·콘도·숙박시설 프론트 사무원,01A
137,029104,데스크 안내원,01A
138,029105,방송 안내원,01A
139,029200,고객 상담원 및 모니터 요원,01A
140,029201,콜센터 매니저,01A
141,029202,콜센터 상담원(콜센터·고객센터·CS센터),01A
142,029203,고객 상담원(학원·학습지·유학·이민),01A
143,029204,고객 상담원(금융·보험·부동산),01A
144,029205,고객 상담원(스포츠·예식·항공·여행·숙박·오락),01A
145,029206,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송),01A
146,029207,고객 상담원(백화점·마트),01A
147,029208,고객 상담원(인터넷·통신),01A
148,029209,고객 상담원(A/S·고장·제품사용),01A
149,029210,병원 코디네이터,01A
150,029211,모니터 요원,01A
151,029301,통계 사무원,01B
152,029302,통계·설문 조사원(슈퍼바이저 포함),01B
153,029400,비서,01B
154,029500,전산자료 입력원 및 사무 보조원,01B
155,029501,전산자료 입력원(DB·단순자료),01B
156,029502,전산자료 입력원(약국·판매·대리점),01B
157,029503,홈페이지 자료관리원(정보검색 포함),01B
158,029504,HTML 코더,01B
159,029505,사무 보조원(공공기관),01B
160,029506,사무 보조원(일반사업체),01B
161,029900,기타 사무원,01B
162,029901,도서 정리원,01B
163,029902,출판·자료 편집 사무원,01B
164,029903,속기사,01B
165,029904,행정사·문서대행자,01B
166,029905,취업 알선원(직업소개소),01B
167,029906,부동산 중개 보조 사무원,01B
168,134301,정보시스템 운영자,01B
169,231400,직업상담사,01B
170,613000,텔레마케터,01B
171,031100,투자·신용 분석가(애널리스트),01C
172,031200,자산 운용가(펀드매니저),01C
173,031300,보험·금융상품 개발자,01C
174,031400,증권·외환 딜러,01C
175,031500,손해사정사,01C
176,031900,"금융 컨설턴트, PB 등 기타 금융·보험 전문가",01C
177,032100,은행 사무원(출납창구 제외),01D
178,032200,증권 사무원(출납창구 제외),01D
179,032300,보험 심사원 및 사무원,01D
180,032400,출납창구 사무원,01D
181,032401,출납창구 사무원(은행·농협·수협·축협),01D
182,032402,출납창구 사무원(우체국·새마을금고),01D
183,032403,출납창구 사무원(증권 및 기타 금융기관),01D
184,032500,수금원 및 신용 추심원,01D
185,032501,수금원,01D
186,032502,신용 추심원(채권 관리원),01D
187,032503,연체 안내원(체납 고지원),01D
188,032900,"카드사·신협·새마을금고·할부사, 우체국(금융부문) 등 기타 사무원",01D
189,033100,대출·신용카드 모집인,01D
190,033200,보험 모집인 및 투자 권유 대행인,01D
191,033201,보험 대리인 및 중개인,01D
192,033203,투자 권유 대행인,01D
193,110100,인문과학 연구원,021
194,110200,사회과학 연구원,021
195,121100,자연과학 연구원,021
196,121200,자연과학 시험원,021
197,122101,생명과학 연구원,021
198,122102,농어업 연구원 및 기술자,021
199,122103,임업 및 산림 연구원 및 기술자,021
200,122200,생명과학 시험원,021
201,122300,농림어업 시험원,021
202,215200,대학 교육 조교(TA) 및 연구 조교(RA),021
203,131100,컴퓨터 하드웨어 기술자 및 연구원,022
204,131200,통신공학 기술자 및 연구원,022
205,131201,통신기기·장비 개발자 및 연구원,022
206,131202,통신기술 개발자 및 통신망 운영 기술자,022
207,131203,통신공사 감리 기술자,022
208,132000,컴퓨터시스템 전문가,022
209,132001,IT 컨설턴트,023
210,132002,컴퓨터시스템 설계 및 분석가,023
211,132003,IT 감리 전문가(시스템 감리),023
212,133100,시스템 소프트웨어 개발자,024
213,133101,시스템 소프트웨어 개발자(프로그래머),024
214,133102,펌웨어 및 임베디드 소프트웨어 프로그래머,024
215,133200,응용 소프트웨어 개발자,024
216,133201,JAVA 프로그래밍 언어 전문가,024
217,133202,C언어 및 그 외 프로그래밍 언어 전문가,024
218,133203,"범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)",024
219,133204,"산업특화 응용 소프트웨어 프로그래머(국방,항공,교통,에너지,금융,자동차 등)",024
220,133205,네트워크 프로그래머,024
221,133206,게임 프로그래머,024
222,133207,모바일 애플리케이션 프로그래머(앱·어플 개발),024
223,133300,웹 개발자,024
224,133301,웹 개발자(웹 엔지니어·웹 프로그래머),024
225,133302,웹 기획자,024
226,133900,IT 테스터 및 IT QA 전문가,024
227,134100,데이터 전문가,025
228,134101,데이터 설계 및 프로그래머,025
229,134102,데이터 분석가(빅데이터 분석가),025
230,134103,데이터베이스 운영·관리자,025
231,134200,네트워크 시스템 개발자,025
232,134301,정보시스템 운영자,025
233,134302,네트워크 관리자(클라우딩컴퓨터운영관리자),025
234,134303,IT 기술지원 전문가,025
235,134400,웹 운영자(홈페이지 관리자),025
236,134900,디지털 포렌식 전문가 및 기타 데이터·네트워크 전문가,025
237,135000,정보보안 전문가,026
238,135001,정보보호 전문가,026
239,135002,침해사고 대응 전문가,026
240,136000,통신·방송송출 장비 기사,026
241,140100,건축가(건축설계 포함),027
242,140200,건축공학 기술자,027
243,140201,건축 현장소장,027
244,140202,건축구조 기술자,027
245,140203,"건축시공 기술자(건축견적, 공무포함)",027
246,140204,건축설비 기술자,027
247,140205,건축감리 기술자,027
248,140206,건축안전·환경·품질·에너지관리 기술자,027
249,140300,토목공학 기술자,027
250,140301,토목 현장소장,027
251,140302,토목구조 설계 기술자,027
252,140303,"토목시공 기술자(토목견적, 공무포함)",027
253,140304,토목감리 기술자,027
254,140305,토목안전·환경·품질 기술자,027
255,140400,조경 기술자,027
256,140500,도시·교통 전문가,027
257,140501,도시 계획·설계가,027
258,140502,교통 계획·설계·안전·영향평가 전문가,027
259,140600,측량·지리정보 전문가,027
260,140601,측량사,027
261,140602,지도제작 및 지리정보시스템 전문가,027
262,140700,건설자재 시험원,027
263,151100,기계공학 기술자 및 연구원,028
264,151101,산업기계공학 기술자 및 연구원,028
265,151102,건설기계공학 기술자 및 연구원,028
266,151103,금형공학 기술자 및 연구원,028
267,151104,플랜트공학 기술자 및 연구원,028
268,151105,냉난방·공조공학 기술자 및 연구원,028
269,151106,조선·해양공학 기술자 및 연구원,028
270,151107,항공기·철도차량 공학 기술자 및 연구원,028
271,151108,자동차공학 기술자 및 연구원,028
272,151109,기타 기계공학 기술자 및 연구원,028
273,151110,기계감리 기술자,028
274,151200,로봇공학 기술자 및 연구원,028
275,151300,기계·로봇공학 시험원,028
276,152100,금속·재료공학 기술자 및 연구원,028
277,152200,금속·재료공학 시험원,028
278,153100,전기공학 기술자 및 연구원,029
279,153101,전기기기·제품 개발 기술자 및 연구원,029
280,153102,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)",029
281,153103,발전설비 기술자,029
282,153104,송·배전설비 기술자,029
283,153105,"전기공사 기술자(전기견적, 공무포함)",029
284,153106,전기감리 기술자,029
285,153107,전기안전 기술자,029
286,153200,전자공학 기술자 및 연구원,029
287,153201,전자부품 개발 기술자 및 연구원,029
288,153202,산업용 전자제품 개발 기술자 및 연구원,029
289,153203,가전제품 개발 기술자 및 연구원,029
290,153204,전자의료기기 개발 기술자 및 연구원,029
291,153205,반도체공학 기술자 및 연구원,029
292,153206,전자제어계측 기술자 및 연구원,029
293,153300,전기·전자공학 시험원,029
294,154100,화학공학 기술자 및 연구원,02A
295,154101,석유화학 기술자 및 연구원,02A
296,154102,고무·플라스틱 기술자 및 연구원,02A
297,154103,도료제품 기술자 및 연구원,02A
298,154104,화장품·비누제품 기술자 및 연구원,02A
299,154105,"의약품, 농약, 비료 등 기타 석유화학 기술자 및 연구원",02A
300,154200,화학공학 시험원,02A
301,155100,가스·에너지공학 기술자 및 연구원,02A
302,155101,가스 기술자 및 연구원,02A
303,155102,"에너지공학 기술자 및 연구원(에너지, 탐사, 시추)",02A
